dates,prices,mas,signals,returns
2023-09-22 15:21:00,26661.08,26314.748443832534,-1.0,99.97715337974444
2023-09-22 15:22:00,26649.31,26314.787854407758,-1.0,99.97715337974444
2023-09-22 15:23:00,26654.98,26314.827508927403,-1.0,99.97715337974444
2023-09-22 15:24:00,26664.89,26314.867958955365,-1.0,99.97715337974444
2023-09-22 15:25:00,26673.74,26314.908789743127,-1.0,99.97715337974444
2023-09-22 15:26:00,26674.99,26314.949673880288,-1.0,99.97715337974444
2023-09-22 15:27:00,26667.25,26314.9902254442,-1.0,99.97715337974444
2023-09-22 15:28:00,26670.9,26315.031149593404,-1.0,99.97715337974444
2023-09-22 15:29:00,26667.72,26315.0715071204,-1.0,99.97715337974444
2023-09-22 15:30:00,26668.29,26315.11148130618,-1.0,99.97715337974444
2023-09-22 15:31:00,26686.94,26315.15218216235,-1.0,99.97715337974444
2023-09-22 15:32:00,26681.6,26315.19265327193,-1.0,99.97715337974444
2023-09-22 15:33:00,26685.41,26315.233758550938,-1.0,99.97715337974444
2023-09-22 15:34:00,26690.0,26315.27518478679,-1.0,99.97715337974444
2023-09-22 15:35:00,26684.02,26315.316223809295,-1.0,99.97715337974444
2023-09-22 15:36:00,26680.07,26315.357136772338,-1.0,99.97715337974444
2023-09-22 15:37:00,26675.22,26315.397841500646,-1.0,99.97715337974444
2023-09-22 15:38:00,26677.0,26315.43862238091,-1.0,99.97715337974444
2023-09-22 15:39:00,26687.79,26315.479867917198,-1.0,99.97715337974444
2023-09-22 15:40:00,26684.01,26315.520737426297,-1.0,99.97715337974444
2023-09-22 15:41:00,26669.16,26315.56106526694,-1.0,99.97715337974444
2023-09-22 15:42:00,26669.17,26315.60190207802,-1.0,99.97715337974444
2023-09-22 15:43:00,26661.73,26315.642246697906,-1.0,99.97715337974444
2023-09-22 15:44:00,26669.0,26315.682688981604,-1.0,99.97715337974444
2023-09-22 15:45:00,26667.56,26315.722994880154,-1.0,99.97715337974444
2023-09-22 15:46:00,26664.87,26315.762880867336,-1.0,99.97715337974444
2023-09-22 15:47:00,26656.71,26315.802363722392,-1.0,99.97715337974444
2023-09-22 15:48:00,26650.19,26315.84149808543,-1.0,99.97715337974444
2023-09-22 15:49:00,26650.2,26315.8806328787,-1.0,99.97715337974444
2023-09-22 15:50:00,26661.0,26315.920386352864,-1.0,99.97715337974444
2023-09-22 15:51:00,26650.2,26315.959674740763,-1.0,99.97715337974444
2023-09-22 15:52:00,26640.01,26315.998212364993,-1.0,99.97715337974444
2023-09-22 15:53:00,26652.67,26316.037212924304,-1.0,99.97715337974444
2023-09-22 15:54:00,26642.95,26316.075943294738,-1.0,99.97715337974444
2023-09-22 15:55:00,26635.2,26316.11455362903,-1.0,99.97715337974444
2023-09-22 15:56:00,26629.52,26316.153166974986,-1.0,99.97715337974444
2023-09-22 15:57:00,26637.65,26316.19225573289,-1.0,99.97715337974444
2023-09-22 15:58:00,26637.59,26316.231544551032,-1.0,99.97715337974444
2023-09-22 15:59:00,26631.01,26316.270676332642,-1.0,99.97715337974444
